Squark,tanb,MA,diagrams,who,ReFinAvg,ReFinErr,ReDivAvg,ReDivErr,ImFinAvg,ImFinErr,ImDivAvg,ImDivErr,msq1,msq2,Aq,lam,eps,TIME,alphaqs,mu
stop,10,750,SUM,KIT,-2.5676141333404394,0.01071803918131339,0.001028604281078982,0.0005732161778977008,0.04760171531550006,0.008016703307642002,-0.0002274207631807441,0.0012106012741170786,1353.469793419137,1650.3211381298813,2684.57346105,0.0001,1e-09,1237928.07022,,
sbot,10,750,SUM,KIT,-2.5527837703128653,0.01533463068820515,-9.12766347713756e-05,0.00010593189706936936,0.07532166534471417,0.013710728699510993,1.3274882878130432e-05,0.00011839049205396956,1465.6588435786034,1503.9180304804074,3126.74498664,0.0001,1e-09,12761.0874541,,
stop,10,1200,SUM,KIT,-2.6236427254294603,0.013480969141283184,-5.204502865996386e-05,0.00020666632843637528,0.11643887266759988,0.010391576914387076,0.0018770943030267185,0.000979064049516365,1353.469793419137,1650.3211381298813,2684.57346105,0.0001,1e-09,1259602.4110299998,,
sbot,10,1200,SUM,KIT,-2.5526783842038494,0.02047268553337427,-7.576517002221006e-05,0.00010282960404026429,0.07817029619008005,0.02061210776511864,0.0001161571345153326,0.00010328001783585359,1465.6588435786034,1503.9180304804074,3126.74498664,0.0001,1e-09,12563.2187591,,
stop,10,1400,SUM,KIT,-2.68900840093299,0.013776885773410687,0.00014778722799813068,0.00014894443182120095,0.1124022715500002,0.010950687763718122,0.0007044566145917033,0.0009178949246061908,1353.469793419137,1650.3211381298813,2684.57346105,0.0001,1e-09,1267805.45269,,
sbot,10,1400,SUM,KIT,-2.564939694159689,0.0242460396048547,7.703676791803725e-05,0.00010164562690784257,0.046492473558269805,0.021672741448252188,-6.128310018439082e-05,9.834205498303672e-05,1465.6588435786034,1503.9180304804074,3126.74498664,0.0001,1e-09,11415.348758,,
stop,10,1600,SUM,KIT,-2.7429820250732004,0.01342415281430788,3.2084899038054004e-05,0.00013256854659847442,0.1252477340794002,0.011633322127208232,0.0012185956970634793,0.0008711268515646155,1353.469793419137,1650.3211381298813,2684.57346105,0.0001,1e-09,1267099.79866,,
sbot,10,1600,SUM,KIT,-2.5725156358382,0.032199838361366334,0.00010774630796417384,0.00010094029348999924,0.053197426896059816,0.024349817168531008,9.286066942310043e-06,9.314389801701998e-05,1465.6588435786034,1503.9180304804074,3126.74498664,0.0001,1e-09,11889.3770149,,
stop,10,1800,SUM,KIT,-2.8084253356656004,0.015525260910063982,-0.0002780980627327123,0.0001612412047540157,0.1413554197383,0.01238091091646787,0.0008789129579497983,0.0008097881787908187,1353.469793419137,1650.3211381298813,2684.57346105,0.0001,1e-09,1266182.96415,,
sbot,10,1800,SUM,KIT,-2.63473858653092,0.0288969721075376,-0.00010152674156305164,0.00010062915017833411,0.08669770123089993,0.02786993334174287,6.034759870032595e-05,8.893406873144203e-05,1465.6588435786034,1503.9180304804074,3126.74498664,0.0001,1e-09,12436.1855609,,
stop,10,2000,SUM,KIT,-2.9267253086079004,0.016333330496554256,-0.000193316884192829,0.00020051972363663032,0.18146579659579992,0.013175536316212131,-0.00044811030820848807,0.0007567744542295629,1353.469793419137,1650.3211381298813,2684.57346105,0.0001,1e-09,1259798.93782,,
sbot,10,2000,SUM,KIT,-2.6272260593742,0.03615142642540749,-0.00014290776884740009,0.00010058604794870972,0.07158818306654002,0.029271768439314318,7.893214450684778e-06,8.555099805811778e-05,1465.6588435786034,1503.9180304804074,3126.74498664,0.0001,1e-09,12567.4185829,,
stop,10,2200,SUM,KIT,-3.0531140730297,0.016785826462324405,0.00010026971048698874,0.0002050994942840544,0.2218312872688002,0.01390486585227824,0.00034943912721788206,0.0007125134686381289,1353.469793419137,1650.3211381298813,2684.57346105,0.0001,1e-09,1257900.49912,,
sbot,10,2200,SUM,KIT,-2.718159281599409,0.03900343440794839,-4.375734986772351e-05,0.00010091816908670258,0.07951204770668996,0.03721711529242437,-0.00010349771779284006,8.229262676673142e-05,1465.6588435786034,1503.9180304804074,3126.74498664,0.0001,1e-09,12597.0718081,,
stop,10,2400,SUM,KIT,-3.2187155313358,0.018477767896293046,-0.00024041405960759102,0.00022060759980384,0.3080762967200001,0.014998000580870469,0.00016359303018972796,0.0006705814632535485,1353.469793419137,1650.3211381298813,2684.57346105,0.0001,1e-09,1253590.26176,,
sbot,10,2400,SUM,KIT,-2.6558674568452,0.0416540285359204,-3.0400022976745368e-05,0.00010128076438743856,0.14846146545080013,0.03982959269009155,-2.424015849739197e-05,7.892969318250089e-05,1465.6588435786034,1503.9180304804074,3126.74498664,0.0001,1e-09,12733.681427,,
stop,10,2600,SUM,KIT,-3.4660258384916007,0.020508089624136423,0.00017368538214673768,0.00022683582829455831,0.4012275640613997,0.017053304767296742,0.0013605701509038642,0.0006353038431191097,1353.469793419137,1650.3211381298813,2684.57346105,0.0001,1e-09,1250378.65335,,
sbot,10,2600,SUM,KIT,-2.77824054838242,0.04649784249383377,-8.663741346182086e-05,0.00010178643543025234,0.12922378633508294,0.03792020104484093,1.4052019708610254e-05,7.650593171962574e-05,1465.6588435786034,1503.9180304804074,3126.74498664,0.0001,1e-09,12674.692616,,
stop,10,2800,SUM,KIT,-3.914994067709899,0.02329741887742616,-4.056334690188956e-05,0.0002298294351773892,0.5132958419440999,0.0188427236352992,-3.5792128306441635e-05,0.000603984135625534,1353.469793419137,1650.3211381298813,2684.57346105,0.0001,1e-09,1179181.9845200002,,
sbot,10,2800,SUM,KIT,-2.87135384464017,0.051267511366798094,-1.0929675438031694e-06,0.00010234410131766816,0.17096957528548995,0.042399667331753016,1.9144023434631424e-05,7.484084667981794e-05,1465.6588435786034,1503.9180304804074,3126.74498664,0.0001,1e-09,12582.6435521,,
stop,40,750,SUM,KIT,-10.19997999101464,0.03692653543050172,0.0010736276734789607,0.0005735686251811241,0.2082224218473,0.027381307205843686,0.0011856227827049194,0.001211205426791482,1353.454442687608,1650.3103753925875,2609.59076813,0.0001,1e-09,14661.779200100002,0.081393305763,1000.0
sbot,40,750,SUM,KIT,-10.013566642570847,0.02792703368650528,-9.127660877139564e-05,0.00010593189705374671,0.06757811347948027,0.024067617173511045,1.3274812725023265e-05,0.00011839049201218667,1458.9579606355971,1531.1411111828759,18236.6101488,0.0001,1e-09,15579.150363,,
stop,40,1200,SUM,KIT,-10.40070339724378,0.043836771065808286,-5.204523656003601e-05,0.00020666632793722023,0.2985776676544,0.035647512104931216,0.0018770948512412168,0.0009790640499450372,1353.454442687608,1650.3103753925875,2609.59076813,0.0001,1e-09,14906.071599,0.081393305763,1000.0
sbot,40,1200,SUM,KIT,-10.15622206390837,0.03399995399305252,-7.796644602242607e-05,0.00010281273420735909,0.12248984881357004,0.030161263528835774,-0.00016404580872115607,0.00010330325195952262,1458.9579606355971,1531.1411111828759,18236.6101488,0.0001,1e-09,15452.640518900002,,
stop,40,1400,SUM,KIT,-10.59403924015959,0.044902154955065436,0.00017009435709813836,0.00014891123510026366,0.3849149830857004,0.03837856173650907,0.0006762563348320232,0.0009196003380541149,1353.454442687608,1650.3103753925875,2609.59076813,0.0001,1e-09,13678.971524,0.081393305763,1000.0
