tauimval,taureval,revalues,imvalues
1.00000001,0.0,6.0,41.338
1.02,0.01,6.0408599999999995,36.2655
1.04,0.02,6.08234,34.2029
1.06,0.03,6.12445,32.6235
1.08,0.04,6.1672199999999995,31.2935
1.1,0.05,6.21065,30.1238
1.12,0.06,6.25476,29.0694
1.14,0.07,6.29957,28.1037
1.16,0.08,6.3451,27.2096
1.18,0.09,6.391369999999999,26.3751
1.2,0.1,6.4384,25.5916
1.22,0.11,6.4862,24.8525
1.24,0.12,6.5348,24.1528
1.26,0.13,6.584210000000001,23.4882
1.28,0.14,6.634469999999999,22.8555
1.3,0.15,6.6855899999999995,22.2518
1.32,0.16,6.737610000000001,21.6747
1.34,0.17,6.79053,21.1222
1.36,0.18,6.8444,20.5924
1.38,0.19,6.89923,20.0839
1.4,0.2,6.9550600000000005,19.5952
1.42,0.21,7.01191,19.125
1.44,0.22,7.06982,18.6723
1.46,0.23,7.1288100000000005,18.236
1.48,0.24,7.18893,17.8153
1.5,0.25,7.2502,17.4092
1.52,0.26,7.31267,17.017
1.54,0.27,7.376360000000001,16.638
1.56,0.28,7.441330000000001,16.2716
1.58,0.29,7.507610000000001,15.9171
1.6,0.3,7.575239999999999,15.574
1.62,0.31,7.64428,15.2417
1.64,0.32,7.714760000000001,14.9197
1.66,0.33,7.786739999999999,14.6076
1.68,0.34,7.86027,14.305
1.7,0.35,7.935410000000001,14.0115
1.72,0.36,8.012210000000001,13.7266
1.74,0.37,8.09074,13.45
1.76,0.38,8.17105,13.1813
1.78,0.39,8.25323,12.9204
1.8,0.4,8.33733,12.6667
1.82,0.41,8.42343,12.4202
1.84,0.42,8.511610000000001,12.1804
1.86,0.43,8.60196,11.9471
1.88,0.44,8.69457,11.7202
1.9,0.45,8.78952,11.4992
1.92,0.46,8.88692,11.2842
1.94,0.47,8.98687,11.0747
1.96,0.48,9.08948,10.8707
1.98,0.49,9.19488,10.6719
2.0,0.5,9.303180000000001,10.4781
2.05,0.51,9.414530000000001,10.0147
2.1,0.52,9.529060000000001,9.57917
2.15,0.53,9.646939999999999,9.169410000000001
2.2,0.54,9.76832,8.783339999999999
2.25,0.55,9.89338,8.419139999999999
2.3,0.56,10.0223,8.07518
2.35,0.57,10.1553,7.749960000000001
2.4,0.58,10.2926,7.442139999999999
2.45,0.59,10.4344,7.15049
2.5,0.6,10.581,6.873880000000001
2.55,0.61,10.7326,6.6113100000000005
2.6,0.62,10.8896,6.36182
2.65,0.63,11.0522,6.12458
2.7,0.64,11.2209,5.89878
2.75,0.65,11.396,5.68371
2.8,0.66,11.5778,5.4787
2.85,0.67,11.767,5.28313
2.9,0.68,11.9639,5.09644
2.95,0.69,12.1692,4.9181
3.0,0.7,12.3834,4.74763
3.05,0.71,12.6072,4.584569999999999
3.1,0.72,12.8413,4.4285
3.15,0.73,13.0867,4.27904
3.2,0.74,13.3442,4.13582
3.25,0.75,13.6149,3.9985
3.3,0.76,13.9,3.86677
3.35,0.77,14.2009,3.74034
3.4,0.78,14.519,3.6189199999999997
3.45,0.79,14.8562,3.5022699999999998
3.5,0.8,15.2144,3.39013
3.55,0.81,15.5962,3.28229
3.6,0.82,16.0042,3.1785400000000004
3.65,0.83,16.4417,3.0786599999999997
3.7,0.84,16.9127,2.9824900000000003
3.75,0.85,17.4217,2.88983
3.8,0.86,17.9746,2.8005299999999997
3.85,0.87,18.5783,2.71444
3.9,0.88,19.2417,2.63139
3.95,0.89,19.9759,2.5512599999999996
4.0,0.9,20.7955,2.47391
4.05,0.91,21.7197,2.39922
4.1,0.92,22.7749,2.32708
4.15,0.93,23.9984,2.25737
4.2,0.94,25.4454,2.1899900000000003
4.25,0.95,27.2026,2.1248400000000003
4.3,0.96,29.4169,2.06182
4.35,0.97,32.3671,2.00085
4.4,0.98,36.6893,1.94185
4.45,0.99,44.4517,1.8847200000000002
4.5,0.9999,72.4041,1.8294099999999998
4.55,1.0001,71.2894,1.7758200000000002
4.6,1.02,32.1755,1.7239099999999998
4.65,1.04,23.3255,1.6735900000000001
4.7,1.06,18.2523,1.62481
4.75,1.08,14.7286,1.57752
4.8,1.1,12.0565,1.53164
4.85,1.12,9.92512,1.4871299999999998
4.9,1.14,8.16812,1.44395
4.95,1.16,6.68606,1.4020299999999999
5.0,1.18,5.41455,1.36133
5.1,1.2,4.30946,1.28342
5.2,1.22,3.3391699999999997,1.2099
5.3,1.24,2.4802299999999997,1.14045
5.4,1.26,1.7147299999999999,1.07479
5.5,1.28,1.0286799999999998,1.01268
5.6,1.3,0.410947,0.9538700000000001
5.7,1.32,-0.1475,0.8981530000000001
5.8,1.34,-0.65408,0.845327
5.9,1.36,-1.11496,0.7952100000000001
6.0,1.38,-1.53535,0.747632
6.1,1.4,-1.91963,0.702438
6.2,1.42,-2.2716,0.659482
6.3,1.44,-2.5945099999999996,0.618631
6.4,1.46,-2.89118,0.57976
6.5,1.48,-3.1641,0.542755
6.6,1.5,-3.4154400000000003,0.507506
6.7,1.52,-3.6471,0.473916
6.8,1.54,-3.86081,0.441891
6.9,1.56,-4.05807,0.411343
7.0,1.58,-4.24024,0.382193
7.1,1.6,-4.408530000000001,0.354365
7.2,1.62,-4.56405,0.327787
7.3,1.64,-4.70777,0.302394
7.4,1.66,-4.8406,0.278125
