norder,sigmaLO,errorLO,sigmaNLO,errorNLO,mu,mA,tanb,msb1,msb2,mst1,mst2,Ab,At
1,27.293060912392097,0.09249457059872605,(49.35441484374462-0.00910030197231186j),(0.34926522832352147-3.2615892220883344e-06j),nan,10.0,750,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(48.69941925931744-0.003640774551376176j),(0.348979505918535-1.2066857472617777e-06j),nan,10.0,1200,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(48.5586071670702-0.0033261046758659876j),(0.3489177070821007-1.0819835207230463e-06j),nan,10.0,1400,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(48.45841039986051-0.002430544431198285j),(0.34888791095891086-7.833622692898556e-07j),nan,10.0,1600,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(48.383265329913435-0.0014631719756086985j),(0.34884243290607336-4.6479391538079794e-07j),nan,10.0,1800,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(48.32662847914429-0.0012157476502362517j),(0.34882354567246626-3.8383028648253116e-07j),nan,10.0,2000,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(48.281029906308326-0.0008606374330143805j),(0.34880979927551387-2.7049060843746956e-07j),nan,10.0,2200,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(48.24586012176654+0.00016685739584402275j),(0.34879225621800825+5.213684667425225e-08j),nan,10.0,2400,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(48.21554748552862+0.0001652377267240094j),(0.3487752021084759+5.133545608647381e-08j),nan,10.0,2600,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(48.19047471490321+0.0007531581439549416j),(0.3487667152004615+2.3331563526830321e-07j),nan,10.0,2800,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
